mol_id,lead_idx,mat_file,lead_smiles
180,181,FRCSO_N100_DDProblem1_M2_D_181.mat,C[C@@H]1CN(Cc2cnc3cnccn23)[C@H](c2ccccc2)CO1
181,182,FRCSO_N100_DDProblem1_M2_D_182.mat,CCC(C)(C)NC(=O)[C@@H](C)Oc1ccc(C[C@H](C)[NH3+])nc1
182,183,FRCSO_N100_DDProblem1_M2_D_183.mat,N#Cc1ccc(OCC(=O)Nc2ccccc2N2CCc3ccccc32)cc1
183,184,FRCSO_N100_DDProblem1_M2_D_184.mat,Cc1ccc(CCN(C)CC[NH+]2CCCC2)cc1
184,185,FRCSO_N100_DDProblem1_M2_D_185.mat,CCOc1ccc(C[NH+]2CCC[C@H]([C@H](O)c3nccn3C)C2)cc1OC
185,186,FRCSO_N100_DDProblem1_M2_D_186.mat,C[C@H](NC(=O)NC[C@H](C)C[C@@H](C)O)c1ccc(S(C)(=O)=O)cc1
186,187,FRCSO_N100_DDProblem1_M2_D_187.mat,CC[C@@H](c1ccccc1)[C@H]1N=N/C(=N/C(=O)Nc2ccc(OC)cc2)S1
187,188,FRCSO_N100_DDProblem1_M2_D_188.mat,Cc1ccccc1[C@@H]1C[C@H](C)N(C(=O)c2ccc(-n3ccnn3)cc2)C1
188,189,FRCSO_N100_DDProblem1_M2_D_189.mat,Cn1nc(CNC(=O)Nc2ccccc2C(F)(F)F)cc1-c1ccncc1
189,190,FRCSO_N100_DDProblem1_M2_D_190.mat,CCNC(=O)N1CC[C@@H]([NH2+][C@H](C)CC(=O)Nc2cccc(F)c2)C1
190,191,FRCSO_N100_DDProblem1_M2_D_191.mat,CC(C)(CNC(=O)NCc1ccc(OC2CCCC2)nc1)N1CCOCC1
191,192,FRCSO_N100_DDProblem1_M2_D_192.mat,COc1ccc(F)c(NC(=O)C(=O)NC[C@H](O)c2ccco2)c1
192,193,FRCSO_N100_DDProblem1_M2_D_193.mat,C[NH+](C)C[C@H]1CSCCCN1C(=O)C1CCN(S(C)(=O)=O)CC1
193,194,FRCSO_N100_DDProblem1_M2_D_194.mat,Cc1ccccc1CS(=O)(=O)N1CCC[C@@H](C(=O)Nc2ccc(Br)cc2F)C1
194,195,FRCSO_N100_DDProblem1_M2_D_195.mat,Cc1cc(C)n(C[C@@H](C)CNC(=O)NCc2cc3ccccc3o2)n1
195,196,FRCSO_N100_DDProblem1_M2_D_196.mat,Cc1ccccc1CNC(=O)[C@@H]1CCCN(S(=O)(=O)Cc2ccc(Cl)cc2)C1
196,197,FRCSO_N100_DDProblem1_M2_D_197.mat,Cc1nc(C2CCCC2)sc1-c1nc(-c2ccc(C#N)cn2)no1
197,198,FRCSO_N100_DDProblem1_M2_D_198.mat,Cc1cc(F)ccc1CCNCc1cn2ccccc2[nH+]1
198,199,FRCSO_N100_DDProblem1_M2_D_199.mat,C[NH2+][C@H](COC(C)C)c1ncccn1
199,200,FRCSO_N100_DDProblem1_M2_D_200.mat,C[C@@H]1CCCC[C@H]1NC(=S)N1CCOCC1
