mol_id,lead_idx,mat_file,lead_smiles
22,23,FRCSO_N100_DDProblem1_M2_D_23.mat,CCCc1ccc(C(=O)N[C@@H](C)c2cccc(S(=O)(=O)NC)c2)cc1
23,24,FRCSO_N100_DDProblem1_M2_D_24.mat,CN(C(=O)CSc1nc2cc(Cl)ccc2o1)C1(C#N)CCCCC1
24,25,FRCSO_N100_DDProblem1_M2_D_25.mat,O=C(COc1ncnc2ccc(Br)cc12)Nc1ccccc1Cl
25,26,FRCSO_N100_DDProblem1_M2_D_26.mat,COc1cccc(CN2CC=CC[C@@H](C3CC[NH+](Cc4ccccn4)CC3)C2=O)c1
26,27,FRCSO_N100_DDProblem1_M2_D_27.mat,N#CCCCCNC(=O)N[C@@H](c1ccccc1F)C1CCCC1
27,28,FRCSO_N100_DDProblem1_M2_D_28.mat,N#CC1=C(N)OC2=C(C(=O)CCC2)[C@H]1[C@@H]1CC=CCC1
28,29,FRCSO_N100_DDProblem1_M2_D_29.mat,C[C@@H]1CCCC/C1=N/NC(=O)CCC(=O)Nc1ccccc1Br
29,30,FRCSO_N100_DDProblem1_M2_D_30.mat,O=C(Nc1cccc(N2CCCNC2=O)c1)C(=O)N1CCc2cc(F)ccc2C1
30,31,FRCSO_N100_DDProblem1_M2_D_31.mat,C[C@@H](c1ccc([S@](C)=O)cc1)N(C)C(=O)c1cc2cccc(F)c2o1
31,32,FRCSO_N100_DDProblem1_M2_D_32.mat,COc1ccc(N2CCN(C(=O)COC(=O)c3ccc(C)c(C)c3)CC2)cc1
32,33,FRCSO_N100_DDProblem1_M2_D_33.mat,C[C@@H](c1ccccc1F)S(=O)(=O)Cc1cccc(C(F)(F)F)c1
33,34,FRCSO_N100_DDProblem1_M2_D_34.mat,CC[NH+]1CCC2(CC1)OC[C@H](C(=O)[O-])N2C(=O)c1ccc(F)cc1
34,35,FRCSO_N100_DDProblem1_M2_D_35.mat,CCOC[C@H]1CC[NH+](Cc2ccc(-c3nc4ccccc4s3)o2)C1
35,36,FRCSO_N100_DDProblem1_M2_D_36.mat,Cc1ccc(S(=O)(=O)N2CCC(C(=O)N3CCCc4ccccc43)CC2)cc1C
36,37,FRCSO_N100_DDProblem1_M2_D_37.mat,Cc1sc(NC(=O)Cc2ccc(F)cc2)nc1-c1ccc(F)cc1
37,38,FRCSO_N100_DDProblem1_M2_D_38.mat,C[C@H]1CCC[C@@]([NH3+])([C@@H]2CCOC3(CCCC3)C2)[C@@H]1C
38,39,FRCSO_N100_DDProblem1_M2_D_39.mat,CC(=O)C1=CC[C@H]2[C@H]3CCC4=CC(=O)CC[C@@]4(C)[C@@H]3C(=O)C[C@]12C
39,40,FRCSO_N100_DDProblem1_M2_D_40.mat,Cc1nc(C(C)C)sc1C(=O)N(Cc1cccs1)[C@H]1CCS(=O)(=O)C1
40,41,FRCSO_N100_DDProblem1_M2_D_41.mat,C[NH+]1CCC(C[NH+](C)C2CCC(c3ccc(O)cc3)CC2)CC1
41,42,FRCSO_N100_DDProblem1_M2_D_42.mat,COCCOc1ccc(NC(=O)N2C[C@@H](CO)CC[C@@H]2C)cc1F
42,43,FRCSO_N100_DDProblem1_M2_D_43.mat,CCOc1ccc(CN2CC[NH2+][C@H](C(=O)[O-])C2)c(OCC)c1C
43,44,FRCSO_N100_DDProblem1_M2_D_44.mat,CN(C[C@@H]1CC[NH+](C)C1)C(=O)NCc1ccnc(OCC(F)F)c1
44,45,FRCSO_N100_DDProblem1_M2_D_45.mat,C[C@H](C(=O)OCC(=O)N(C)[C@@H]1CCCc2ccccc21)c1cccs1
45,46,FRCSO_N100_DDProblem1_M2_D_46.mat,C[C@H]1CN(S(=O)(=O)CC[NH2+]Cc2ccc(C(C)(C)C)cc2)C[C@@H](C)O1
46,47,FRCSO_N100_DDProblem1_M2_D_47.mat,CC[C@H](C)[NH2+]Cc1ccc(N(C)C)cc1
47,48,FRCSO_N100_DDProblem1_M2_D_48.mat,O=C(CCC1CCCCC1)NNC(=O)[C@@H](O)c1ccccc1
48,49,FRCSO_N100_DDProblem1_M2_D_49.mat,COc1ccccc1/C=C/C[NH+]1CCN(CCO)CC1
49,50,FRCSO_N100_DDProblem1_M2_D_50.mat,COc1ccc(CN2CCN(C(=O)C34CC5CC(CC(C5)C3)C4)CCC2=O)cc1
